MU: 2.095235e-01 -2.037620e-02 -3.207209e+00 1.361350e+00 3.252450e+00 
algo,mean,variance,S,tail
gl,1.834183e-05,2.437388e-09,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,1.126673e-05,1.240390e-09,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,9.783335e-06,9.291448e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.758982e-06,7.075003e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.895476e-06,5.719154e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.555539e-06,4.888325e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.082180e-06,4.242501e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.217407e-06,3.837077e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,5.730198e-06,3.433114e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.752005e-06,3.610891e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.225167e-06,3.308713e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.258551e-06,5.522371e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.099309e-06,5.170346e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.000850e-06,4.924369e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.932568e-06,4.612496e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.744013e-06,4.355836e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.900268e-06,4.240762e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.793609e-06,4.055365e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.597413e-06,3.860496e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.416631e-06,3.678040e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.218388e-06,3.516912e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.473935e-06,3.539342e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.426687e-06,3.417198e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.735603e-06,3.699634e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.673111e-06,3.599887e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,6.822293e-06,3.516226e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.327987e-06,4.591072e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.119124e-06,4.439867e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.041759e-06,4.296439e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.831251e-06,6.844548e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,8.208832e-06,7.046657e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,8.117991e-06,6.843216e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.990823e-06,6.647556e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.866314e-06,6.479557e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.679575e-06,6.307806e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.924014e-06,6.698495e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.751145e-06,6.528859e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.723751e-06,6.434961e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.668129e-06,6.305422e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.624560e-06,6.191342e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.505380e-06,6.049826e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.357405e-06,5.915621e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.338340e-06,5.838911e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.427522e-06,5.816695e-10,5,4.000000e-01
nv,0,0,5,4.000000e-01
gl,7.385257e-06,5.717213e-10,5,4.000000e-01
