MU: -1.997284e+00 -2.362259e+00 1.503819e+00 -8.928034e-01 -2.458396e-01 
algo,mean,variance,S,tail
gl,2.471046e-03,2.101361e-05,5,2.000000e-01
nv,0,0,5,2.000000e-01
gl,1.862220e-03,1.435537e-05,5,2.000000e-01
nv,0,0,5,2.000000e-01
gl,1.292182e-03,1.008940e-05,5,2.000000e-01
nv,0,0,5,2.000000e-01
gl,1.360402e-03,1.196909e-05,5,2.000000e-01
nv,0,0,5,2.000000e-01
gl,1.161624e-03,9.752562e-06,5,2.000000e-01
nv,0,0,5,2.000000e-01
gl,1.045734e-03,8.254110e-06,5,2.000000e-01
nv,1.848333e-03,2.049802e-04,5,2.000000e-01
gl,9.397320e-04,7.138818e-06,5,2.000000e-01
nv,1.395857e-02,1.084700e-02,5,2.000000e-01
gl,9.860412e-04,6.629720e-06,5,2.000000e-01
nv,1.223500e-02,9.495050e-03,5,2.000000e-01
gl,9.987717e-04,6.116066e-06,5,2.000000e-01
nv,1.087556e-02,8.443142e-03,5,2.000000e-01
gl,1.022856e-03,5.865237e-06,5,2.000000e-01
nv,9.788000e-03,7.601052e-03,5,2.000000e-01
gl,9.999589e-04,5.503554e-06,5,2.000000e-01
nv,8.898182e-03,6.911698e-03,5,2.000000e-01
gl,9.470638e-04,5.104961e-06,5,2.000000e-01
nv,1.244667e-02,8.474902e-03,5,2.000000e-01
gl,9.537469e-04,5.077889e-06,5,2.000000e-01
nv,1.148923e-02,7.829018e-03,5,2.000000e-01
gl,1.316498e-03,1.739984e-05,5,2.000000e-01
nv,1.066857e-02,7.274598e-03,5,2.000000e-01
gl,1.476422e-03,2.102798e-05,5,2.000000e-01
nv,1.014733e-02,6.794078e-03,5,2.000000e-01
gl,1.430657e-03,1.981617e-05,5,2.000000e-01
nv,9.513125e-03,6.372849e-03,5,2.000000e-01
gl,1.395460e-03,1.872307e-05,5,2.000000e-01
nv,8.953529e-03,6.000797e-03,5,2.000000e-01
gl,1.434228e-03,1.860011e-05,5,2.000000e-01
nv,9.096667e-03,5.732749e-03,5,2.000000e-01
gl,1.402268e-03,1.767357e-05,5,2.000000e-01
nv,8.621579e-03,5.433516e-03,5,2.000000e-01
gl,1.464039e-03,1.730649e-05,5,2.000000e-01
nv,8.190500e-03,5.164023e-03,5,2.000000e-01
gl,1.729395e-03,3.434705e-05,5,2.000000e-01
nv,1.229524e-02,9.092145e-03,5,2.000000e-01
gl,1.669167e-03,3.287266e-05,5,2.000000e-01
nv,1.173909e-02,8.683504e-03,5,2.000000e-01
gl,1.661463e-03,3.165556e-05,5,2.000000e-01
nv,1.445000e-02,1.038265e-02,5,2.000000e-01
gl,1.644609e-03,3.062596e-05,5,2.000000e-01
nv,1.384792e-02,9.956603e-03,5,2.000000e-01
gl,1.670191e-03,2.988617e-05,5,2.000000e-01
nv,1.329400e-02,9.564133e-03,5,2.000000e-01
