MU: 5.242907e-01 -4.717385e-01 -1.095709e+00 8.719267e-01 7.834958e-01 
algo,mean,variance,S,tail
gl,5.699487e-01,2.062298e+00,5,5.000000e-02
nv,4.175200e-01,9.930382e-02,5,5.000000e-02
gl,5.573402e-01,1.716483e+00,5,5.000000e-02
nv,4.493000e-01,1.192583e-01,5,5.000000e-02
gl,8.242346e-01,4.127773e+00,5,5.000000e-02
nv,4.481200e-01,1.267403e-01,5,5.000000e-02
gl,7.234828e-01,3.216259e+00,5,5.000000e-02
nv,4.432575e-01,1.253642e-01,5,5.000000e-02
gl,6.125550e-01,2.613262e+00,5,5.000000e-02
nv,5.149860e-01,1.324322e-01,5,5.000000e-02
gl,5.756085e-01,2.286362e+00,5,5.000000e-02
nv,4.887183e-01,1.394588e-01,5,5.000000e-02
gl,5.076301e-01,1.986177e+00,5,5.000000e-02
nv,5.047957e-01,1.425510e-01,5,5.000000e-02
gl,5.163201e-01,1.841094e+00,5,5.000000e-02
nv,4.991125e-01,1.417028e-01,5,5.000000e-02
gl,4.828696e-01,1.649317e+00,5,5.000000e-02
nv,5.184578e-01,1.436460e-01,5,5.000000e-02
gl,4.649306e-01,1.493641e+00,5,5.000000e-02
nv,5.181260e-01,1.412325e-01,5,5.000000e-02
gl,4.338513e-01,1.367867e+00,5,5.000000e-02
nv,5.189855e-01,1.366162e-01,5,5.000000e-02
gl,4.405447e-01,1.340317e+00,5,5.000000e-02
nv,5.184092e-01,1.394961e-01,5,5.000000e-02
gl,4.160265e-01,1.244604e+00,5,5.000000e-02
nv,5.062769e-01,1.399814e-01,5,5.000000e-02
gl,4.152255e-01,1.190952e+00,5,5.000000e-02
nv,5.092893e-01,1.385316e-01,5,5.000000e-02
gl,4.030948e-01,1.115016e+00,5,5.000000e-02
nv,5.054193e-01,1.387034e-01,5,5.000000e-02
gl,5.944799e-01,7.615864e+00,5,5.000000e-02
nv,4.918369e-01,1.387867e-01,5,5.000000e-02
gl,5.880812e-01,7.226473e+00,5,5.000000e-02
nv,4.925076e-01,1.398216e-01,5,5.000000e-02
gl,5.744066e-01,6.835822e+00,5,5.000000e-02
nv,4.950356e-01,1.417437e-01,5,5.000000e-02
gl,5.537145e-01,6.484239e+00,5,5.000000e-02
nv,4.908374e-01,1.404313e-01,5,5.000000e-02
gl,5.355016e-01,6.168312e+00,5,5.000000e-02
nv,4.855170e-01,1.390926e-01,5,5.000000e-02
gl,5.199421e-01,5.881976e+00,5,5.000000e-02
nv,4.923381e-01,1.399353e-01,5,5.000000e-02
gl,6.211323e-01,7.775856e+00,5,5.000000e-02
nv,4.816932e-01,1.396484e-01,5,5.000000e-02
gl,6.164175e-01,7.465320e+00,5,5.000000e-02
