MU: 8.385169e-01 -6.699924e-01 -1.599249e+00 1.257455e+00 1.250238e+00 
algo,mean,variance,S,tail
gl,9.633188e-02,7.091047e-02,5,1.000000e-01
nv,8.538000e-02,6.717510e-02,5,1.000000e-01
gl,6.894353e-02,3.865897e-02,5,1.000000e-01
nv,6.838000e-02,3.522406e-02,5,1.000000e-01
gl,1.433734e-01,2.039483e-01,5,1.000000e-01
nv,8.472000e-02,5.374141e-02,5,1.000000e-01
gl,1.151814e-01,1.545072e-01,5,1.000000e-01
nv,7.838000e-02,4.359692e-02,5,1.000000e-01
gl,9.680704e-02,1.244699e-01,5,1.000000e-01
nv,1.115000e-01,6.126480e-02,5,1.000000e-01
gl,8.802362e-02,1.050500e-01,5,1.000000e-01
nv,1.119417e-01,6.260822e-02,5,1.000000e-01
gl,7.689405e-02,9.062022e-02,5,1.000000e-01
nv,1.372829e-01,7.875504e-02,5,1.000000e-01
gl,8.478049e-02,8.950495e-02,5,1.000000e-01
nv,1.289425e-01,7.303780e-02,5,1.000000e-01
gl,7.678119e-02,7.998714e-02,5,1.000000e-01
nv,1.353300e-01,7.487397e-02,5,1.000000e-01
gl,7.443409e-02,7.234372e-02,5,1.000000e-01
nv,1.343770e-01,7.571886e-02,5,1.000000e-01
gl,6.890528e-02,6.603498e-02,5,1.000000e-01
nv,1.290918e-01,7.223113e-02,5,1.000000e-01
gl,7.426030e-02,7.015888e-02,5,1.000000e-01
nv,1.324933e-01,7.376885e-02,5,1.000000e-01
gl,6.983017e-02,6.499451e-02,5,1.000000e-01
nv,1.273723e-01,7.040417e-02,5,1.000000e-01
gl,7.631967e-02,7.253648e-02,5,1.000000e-01
nv,1.334093e-01,7.409287e-02,5,1.000000e-01
gl,7.333505e-02,6.786533e-02,5,1.000000e-01
nv,1.312320e-01,7.167358e-02,5,1.000000e-01
gl,7.274038e-02,6.409005e-02,5,1.000000e-01
nv,1.233906e-01,6.810044e-02,5,1.000000e-01
gl,7.619302e-02,6.608052e-02,5,1.000000e-01
nv,1.243465e-01,6.939791e-02,5,1.000000e-01
gl,7.423678e-02,6.265084e-02,5,1.000000e-01
nv,1.286511e-01,7.342117e-02,5,1.000000e-01
gl,7.229403e-02,5.971403e-02,5,1.000000e-01
nv,1.274247e-01,7.427430e-02,5,1.000000e-01
gl,6.901631e-02,5.692034e-02,5,1.000000e-01
nv,1.248220e-01,7.271812e-02,5,1.000000e-01
gl,6.632678e-02,5.435925e-02,5,1.000000e-01
nv,1.274143e-01,7.358428e-02,5,1.000000e-01
gl,2.220199e-01,5.364549e+00,5,1.000000e-01
nv,1.218427e-01,7.088415e-02,5,1.000000e-01
gl,2.148203e-01,5.131687e+00,5,1.000000e-01
nv,1.193030e-01,6.926560e-02,5,1.000000e-01
gl,2.073545e-01,4.918295e+00,5,1.000000e-01
nv,1.174929e-01,6.788152e-02,5,1.000000e-01
gl,2.005408e-01,4.722026e+00,5,1.000000e-01
nv,1.150716e-01,6.626548e-02,5,1.000000e-01
gl,1.942388e-01,4.540741e+00,5,1.000000e-01
nv,1.162796e-01,6.751873e-02,5,1.000000e-01
gl,1.876841e-01,4.373080e+00,5,1.000000e-01
nv,1.260670e-01,7.389343e-02,5,1.000000e-01
gl,1.816143e-01,4.217351e+00,5,1.000000e-01
nv,1.271611e-01,7.414417e-02,5,1.000000e-01
gl,1.761222e-01,4.072302e+00,5,1.000000e-01
nv,1.329390e-01,7.740476e-02,5,1.000000e-01
gl,1.785496e-01,3.948997e+00,5,1.000000e-01
nv,1.329443e-01,7.717813e-02,5,1.000000e-01
gl,1.735933e-01,3.821981e+00,5,1.000000e-01
nv,1.340242e-01,7.832751e-02,5,1.000000e-01
gl,1.739369e-01,3.710061e+00,5,1.000000e-01
nv,1.378588e-01,8.081921e-02,5,1.000000e-01
gl,1.693328e-01,3.597988e+00,5,1.000000e-01
nv,1.378312e-01,7.932484e-02,5,1.000000e-01
gl,1.653577e-01,3.492527e+00,5,1.000000e-01
nv,1.397621e-01,7.970052e-02,5,1.000000e-01
gl,1.612180e-01,3.393050e+00,5,1.000000e-01
nv,1.360006e-01,7.790822e-02,5,1.000000e-01
gl,1.581297e-01,3.299300e+00,5,1.000000e-01
nv,1.374900e-01,7.845526e-02,5,1.000000e-01
gl,1.551156e-01,3.210417e+00,5,1.000000e-01
nv,1.367803e-01,7.874331e-02,5,1.000000e-01
gl,1.514170e-01,3.126223e+00,5,1.000000e-01
nv,1.337116e-01,7.709014e-02,5,1.000000e-01
gl,1.532575e-01,3.054331e+00,5,1.000000e-01
nv,1.329708e-01,7.576923e-02,5,1.000000e-01
gl,1.499945e-01,2.978239e+00,5,1.000000e-01
nv,1.300283e-01,7.423360e-02,5,1.000000e-01
gl,1.467218e-01,2.905857e+00,5,1.000000e-01
nv,1.279712e-01,7.267106e-02,5,1.000000e-01
gl,1.492368e-01,2.849634e+00,5,1.000000e-01
nv,1.292502e-01,7.258183e-02,5,1.000000e-01
gl,1.477113e-01,2.783993e+00,5,1.000000e-01
nv,1.277663e-01,7.151038e-02,5,1.000000e-01
gl,1.447816e-01,2.720967e+00,5,1.000000e-01
nv,1.279200e-01,7.174319e-02,5,1.000000e-01
gl,1.434128e-01,2.661087e+00,5,1.000000e-01
nv,1.275762e-01,7.099226e-02,5,1.000000e-01
gl,1.406644e-01,2.603456e+00,5,1.000000e-01
nv,1.292802e-01,7.278707e-02,5,1.000000e-01
gl,1.379766e-01,2.548287e+00,5,1.000000e-01
nv,1.277151e-01,7.156065e-02,5,1.000000e-01
gl,1.357244e-01,2.495374e+00,5,1.000000e-01
nv,1.273915e-01,7.188022e-02,5,1.000000e-01
gl,1.336151e-01,2.444624e+00,5,1.000000e-01
nv,1.260339e-01,7.082838e-02,5,1.000000e-01
gl,1.325991e-01,2.396371e+00,5,1.000000e-01
nv,1.246118e-01,6.968258e-02,5,1.000000e-01
gl,1.304241e-01,2.349560e+00,5,1.000000e-01
nv,1.229386e-01,6.853661e-02,5,1.000000e-01
gl,1.283898e-01,2.304536e+00,5,1.000000e-01
nv,1.249104e-01,6.936625e-02,5,1.000000e-01
gl,1.261531e-01,2.261235e+00,5,1.000000e-01
nv,1.242719e-01,6.889136e-02,5,1.000000e-01
gl,1.242528e-01,2.219490e+00,5,1.000000e-01
nv,1.229641e-01,6.817182e-02,5,1.000000e-01
gl,1.221410e-01,2.179304e+00,5,1.000000e-01
nv,1.244800e-01,6.903041e-02,5,1.000000e-01
gl,1.204302e-01,2.140535e+00,5,1.000000e-01
nv,1.227938e-01,6.799904e-02,5,1.000000e-01
gl,1.184560e-01,2.103136e+00,5,1.000000e-01
nv,1.253240e-01,6.966749e-02,5,1.000000e-01
gl,1.167050e-01,2.066993e+00,5,1.000000e-01
nv,1.252867e-01,6.911054e-02,5,1.000000e-01
gl,1.150895e-01,2.032065e+00,5,1.000000e-01
