MU: -7.106774e-01 7.655664e-01 -7.804318e-01 1.467535e+00 6.483935e+00 
algo,mean,variance,S,tail
gl,2.853615e-11,2.707008e-21,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,3.086094e-11,5.632460e-21,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,2.302114e-11,3.976882e-21,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,4.640915e-10,7.051264e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,3.727901e-10,5.646281e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,3.125007e-10,4.707794e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,2.691375e-10,4.037021e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,2.398310e-10,3.533002e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,2.155800e-10,3.140864e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.984164e-10,2.827226e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.806300e-10,2.571042e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.698980e-10,2.358183e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.582917e-10,2.177155e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.475150e-10,2.022057e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.386563e-10,1.887488e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.318430e-10,1.769822e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.247115e-10,1.665950e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.187569e-10,1.573509e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.246261e-10,1.501840e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.186487e-10,1.427058e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.145976e-10,1.359266e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.108770e-10,1.297801e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.062904e-10,1.241596e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,1.037912e-10,1.190053e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,9.989026e-11,1.142629e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,9.633291e-11,1.098846e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,9.331633e-11,1.058250e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,9.010242e-11,1.020602e-18,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,8.778408e-11,9.854552e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,8.495881e-11,9.527295e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,8.261261e-11,9.220680e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,8.046865e-11,8.933183e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.877364e-11,8.662804e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.685565e-11,8.408572e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.472585e-11,8.169194e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.347180e-11,7.944026e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.166169e-11,7.729988e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,7.120821e-11,7.531931e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.960780e-11,7.339434e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.795039e-11,7.156573e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.714724e-11,6.982552e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.574550e-11,6.816751e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.487351e-11,6.658667e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.382390e-11,6.507714e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.269357e-11,6.363374e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.153017e-11,6.225426e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.032342e-11,6.093395e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,5.927106e-11,5.966784e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.219198e-11,5.913693e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.181912e-11,5.795803e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.433662e-11,5.710944e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
gl,6.327098e-11,5.601504e-19,5,8.000000e-01
nv,0,0,5,8.000000e-01
